epoch,train_loss,val_rmse,lr
1,3.160332413455147,3.1834943294525146,9.779754323328192e-05
2,1.7904956607676263,2.3519585132598877,9.140576474687264e-05
3,1.3173835866190309,1.8483717441558838,8.14503363531613e-05
4,1.0970348537857852,1.6602059602737427,6.890576474687264e-05
5,0.952394175514653,1.5316178798675537,5.500000000000001e-05
6,0.8607228498405485,1.475977897644043,4.109423525312737e-05
7,0.780691616793177,1.461781620979309,2.8549663646838717e-05
8,0.7133934078969766,1.4029755592346191,1.8594235253127375e-05
9,0.6714816264696976,1.368735671043396,1.2202456766718093e-05
10,0.6338386927078019,1.3645771741867065,1e-05
